"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24475","Test Case: Create a case without Collaborators assigned","chromium","Thu Sep 25 14:54:13 GMT+04:00 2025","passed","Thu Sep 25 14:54:38 GMT+04:00 2025","UI Test: Create a case without Collaborators assigned","projects/enhanced-ai/models/llm-generated/LLM-Generated/prompts/612259d0-2fd9-41fe-90f1-83a746a92443/test-case----create-a-case-without-collaborators-assigned-.spec.ts","",""
"","14404","test","chromium","Thu Sep 25 15:51:29 GMT+04:00 2025","failed","Thu Sep 25 15:51:44 GMT+04:00 2025","","codegen-test-invild.spec.ts","",""
"","232606","Test Case: Create a case and upload a file","chromium","Mon Sep 29 10:57:01 GMT+04:00 2025","failed","Mon Sep 29 11:00:53 GMT+04:00 2025","Create a case and upload a file","projects/enhanced-ai/models/llm-generated/LLM-Generated/prompts/1fc9272f-cf1d-4d04-b7cc-a4106b118427/test-case----create-a-case-and-upload-a-file.spec.ts","",""
"","1851","codegen-test","chromium","Sun Sep 28 16:20:34 GMT+04:00 2025","passed","Sun Sep 28 16:20:36 GMT+04:00 2025","codegen-test","codegen-test.spec.ts","",""
"","839","final-working-test","chromium","Thu Sep 25 15:14:47 GMT+04:00 2025","failed","Thu Sep 25 15:14:47 GMT+04:00 2025","final-working-test","final-working-test.spec.ts","",""
"","15962","test","chromium","Thu Sep 25 15:55:53 GMT+04:00 2025","failed","Thu Sep 25 15:56:09 GMT+04:00 2025","","codegen-test-invlid.spec.ts","",""
"","26633","test-enhancement","chromium","Thu Sep 25 15:35:38 GMT+04:00 2025","passed","Thu Sep 25 15:36:05 GMT+04:00 2025","test-enhancement","test-enhancement.spec.ts","",""
"","19909","create a case","chromium","Fri Sep 26 09:31:15 GMT+04:00 2025","failed","Fri Sep 26 09:31:35 GMT+04:00 2025","create a case","create a case.spec.ts","",""
"","28472","test","chromium","Thu Sep 25 16:30:35 GMT+04:00 2025","failed","Thu Sep 25 16:31:04 GMT+04:00 2025","","test case  create a case without collaborators assigned -codegen.spec.ts","",""
"","84","should create a new project successfully","api","Sun Sep 28 16:20:44 GMT+04:00 2025","failed","Sun Sep 28 16:20:44 GMT+04:00 2025","POST /api/v1/project - happy-path","../server/tests/generated/api-tests/post--api-v1-project-happy-path.spec.ts","",""
"","267","POST /api/v1/project - should return 200","api","Fri Sep 26 12:25:08 GMT+04:00 2025","failed","Fri Sep 26 12:25:09 GMT+04:00 2025","POST /api/v1/project","../server/tests/generated/api-tests/post--api-v1-project-happy-path.spec.ts","",""
"","873","codegen-testinvalide","chromium","Thu Sep 25 14:58:10 GMT+04:00 2025","failed","Thu Sep 25 14:58:11 GMT+04:00 2025","codegen-testinvalide","codegen-testinvalide.spec.ts","",""
"","2312","codegen-test-dasdasdasda","chromium","Thu Sep 25 16:58:49 GMT+04:00 2025","passed","Thu Sep 25 16:58:51 GMT+04:00 2025","codegen-test-dasdasdasda","codegen-test-dasdasdasda.spec.ts","",""
"","30222","Test Case: Create a case and upload a file","chromium","Mon Sep 29 11:04:55 GMT+04:00 2025","broken","Mon Sep 29 11:05:25 GMT+04:00 2025","Create a case and upload a file","","",""
"","2007","test-manual-fix","chromium","Thu Sep 25 15:14:30 GMT+04:00 2025","passed","Thu Sep 25 15:14:32 GMT+04:00 2025","test-manual-fix","test-manual-fix.spec.ts","",""
"","187","should create a project successfully","api","Sun Sep 28 15:58:12 GMT+04:00 2025","failed","Sun Sep 28 15:58:12 GMT+04:00 2025","POST /api/v1/project - happy-path","../server/tests/generated/api-tests/post--api-v1-project-happy-path.spec.ts","",""
